code,name,description,refreshed_at
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Historical prices for Apollo Hospitals Enterprise Limited<br><br>National Stock Exchange of India<br><br>Ticker: APOLLOHOSP<br><br>ISIN: INE437A01024,19/01/2019
APOLLOTYRE,Apollo Tyres Limited,Historical prices for Apollo Tyres Limited<br><br>National Stock Exchange of India<br><br>Ticker: APOLLOTYRE<br><br>ISIN: INE438A01022,20/01/2019
APOLSINHOT,Apollo Sindoori Hotels Limited,Historical prices for Apollo Sindoori Hotels Limited<br><br>National Stock Exchange of India<br><br>Ticker: APOLSINHOT<br><br>ISIN: INE451F01016,21/01/2019
APPAPER,The Andhra Pradesh Paper Mills Limited,"Historical prices for The Andhra Pradesh Paper Mills Limited (APPAPER), (ISIN: INE435A01028),  National Stock Exchange of India.",22/01/2019
APTECHT,Aptech Limited,Historical prices for Aptech Limited<br><br>National Stock Exchange of India<br><br>Ticker: APTECHT<br><br>ISIN: INE266F01018,23/01/2019
AQUA,Aqua Logistics Limited,"Historical prices for Aqua Logistics Limited (AQUA), (ISIN: INE544K01026),  National Stock Exchange of India.",24/01/2019
ARCHIDPLY,Archidply Industries Limited,Historical prices for Archidply Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: ARCHIDPLY<br><br>ISIN: INE877I01016,25/01/2019
ARCHIES,Archies Limited,Historical prices for Archies Limited<br><br>National Stock Exchange of India<br><br>Ticker: ARCHIES<br><br>ISIN: INE731A01020,26/01/2019
ARCOTECH,Arcotech Limited,Historical prices for Arcotech Limited<br><br>National Stock Exchange of India<br><br>Ticker: ARCOTECH<br><br>ISIN: INE574I01035,27/01/2019
ARENTERP,Rajdarshan Industries Limited,Historical prices for Rajdarshan Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: ARENTERP<br><br>ISIN: INE610C01014,28/01/2019
ARIES,Aries Agro Limited,Historical prices for Aries Agro Limited<br><br>National Stock Exchange of India<br><br>Ticker: ARIES<br><br>ISIN: INE298I01015,29/01/2019
ARIHANT,Arihant Foundations & Housing Limited,Historical prices for Arihant Foundations & Housing Limited<br><br>National Stock Exchange of India<br><br>Ticker: ARIHANT<br><br>ISIN: INE413D01011,30/01/2019
ARIHANTSUP,Arihant Superstructures Limited,Historical prices for Arihant Superstructures Limited<br><br>National Stock Exchange of India<br><br>Ticker: ARIHANTSUP<br><br>ISIN: INE643K01018,31/01/2019
ARL,Arvind Remedies Limited,"Historical prices for Arvind Remedies Limited (ARL), (ISIN: INE211C01029),  National Stock Eschange of India.",1/02/2019
ARMANFIN,Arman Financial Services Limited,Historical prices for Arman Financial Services Limited<br><br>National Stock Exchange of India<br><br>Ticker: ARMANFIN<br><br>ISIN: INE109C01017,2/02/2019
AROGRANITE,Aro Granite Industries Limited,Historical prices for Aro Granite Industries Limited<br><br>National Stock Exchange of India<br><br>Ticker: AROGRANITE<br><br>ISIN: INE210C01013,3/02/2019
ARROWCOAT,Arrow Coated Products Limited,Historical prices for Arrow Coated Products Limited<br><br>National Stock Exchange of India<br><br>Ticker: ARROWCOAT<br><br>ISIN: INE570D01018,4/02/2019
ARROWGREEN,Arrow Greentech Limited,Historical prices for Arrow Greentech Limited<br><br>National Stock Exchange of India<br><br>Ticker: ARROWGREEN<br><br>ISIN: INE570D01018,5/02/2019
ARROWTEX,Arrow Textiles Limited,Historical prices for Arrow Textiles Limited<br><br>National Stock Exchange of India<br><br>Ticker: ARROWTEX<br><br>ISIN: INE933J01015,6/02/2019
ARSHIYA,Arshiya Limited,Historical prices for Arshiya Limited<br><br>National Stock Exchange of India<br><br>Ticker: ARSHIYA<br><br>ISIN: INE968D01022,7/02/2019
ARSSINFRA,ARSS Infrastructure Projects Limited,Historical prices for ARSS Infrastructure Projects Limited<br><br>National Stock Exchange of India<br><br>Ticker: ARSSINFRA<br><br>ISIN: INE267I01010,8/02/2019
ARVIND,Arvind Limited,Historical prices for Arvind Limited<br><br>National Stock Exchange of India<br><br>Ticker: ARVIND<br><br>ISIN: INE034A01011,9/02/2019
ARVINDREM,Arvind Remedies Limited,Historical prices for Arvind Remedies Limited<br><br>National Stock Exchange of India<br><br>Ticker: ARVINDREM<br><br>ISIN: INE211C01037,10/02/2019
ARVINFRA,Arvind Infrastructure Limited,Historical prices for Arvind Infrastructure Limited<br><br>National Stock Exchange of India<br><br>Ticker: ARVINFRA<br><br>ISIN: INE034S01021,11/02/2019
ARVSMART,Arvind SmartSpaces Limited,Historical prices for Arvind SmartSpaces Limited<br><br>National Stock Exchange of India<br><br>Ticker: ARVSMART<br><br>ISIN: INE034S01021,12/02/2019
ASAHIINDIA,Asahi India Glass Limited,Historical prices for Asahi India Glass Limited<br><br>National Stock Exchange of India<br><br>Ticker: ASAHIINDIA<br><br>ISIN: INE439A01020,13/02/2019
ASAHISONG,Asahi Songwon Colors Limited,Historical prices for Asahi Songwon Colors Limited<br><br>National Stock Exchange of India<br><br>Ticker: ASAHISONG<br><br>ISIN: INE228I01012,14/02/2019
ASAL,Automotive Stampings and Assemblies Limited,Historical prices for Automotive Stampings and Assemblies Limited<br><br>National Stock Exchange of India<br><br>Ticker: ASAL<br><br>ISIN: INE900C01027,15/02/2019
ASHAPURMIN,Ashapura Minechem Limited,Historical prices for Ashapura Minechem Limited<br><br>National Stock Exchange of India<br><br>Ticker: ASHAPURMIN<br><br>ISIN: INE348A01023,16/02/2019
ASHCONIUL,Ashco Niulab Industries Limited,"Historical prices for Ashco Niulab Industries Limited (ASHCONIUL), (ISIN: INE714F01033),  National Stock Exchange of India.",17/02/2019
